"","ID.Number","Rank_gift","predicted_gift_amount"
"237",820495,237,5004.1177672871
"238",274193,238,5003.83359556283
"239",365106,239,5000.84399382732
"240",34300,240,4999.59381448015
"241",140780,241,4999.33417926084
"242",110689,242,4997.39862349061
"243",730849,243,4993.27242936508
"244",189557,244,4992.40928477753
"245",438474,245,4989.45326904762
"246",659870,246,4987.46773617377
"247",65872,247,4984.2955788988
"248",158951,248,4983.77097901003
"249",429292,249,4975.4599569031
"250",424584,250,4973.21323901222
"251",606196,251,4967.51333458209
"252",378313,252,4967.06114849595
"253",421622,253,4965.8895864184
"254",659388,254,4961.25757914353
"255",220762,255,4960.69339844865
"256",721087,256,4960.20376875769
"257",383395,257,4958.94103474391
"258",411776,258,4957.32187903686
"259",312661,259,4951.62090225322
"260",560438,260,4951.45020212818
"261",257330,261,4950.73930290039
"262",330787,262,4946.6517130715
"263",348280,263,4943.39094511267
"264",835498,264,4941.16579230769
"265",760358,265,4938.94342698092
"266",210131,266,4936.98915275066
"267",238547,267,4934.94137908259
"268",389032,268,4929.7636061248
"269",65781,269,4928.9048463807
"270",98481,270,4928.78144738452
"271",175242,271,4928.56673822172
"272",89239,272,4927.62939893594
"273",314578,273,4925.23345456957
"274",318227,274,4924.34931257787
"275",772692,275,4922.30876380952
"276",104415,276,4919.17425994649
"277",725640,277,4918.5812278167
"278",733876,278,4917.02378239734
"279",174309,279,4914.1024768415
"280",169540,280,4908.66969398496
"281",18282,281,4903.40343392965
"282",466554,282,4900.81637833781
"283",191541,283,4899.21012822495
"284",416613,284,4897.71761229881
"285",17166,285,4897.31487321856
"286",201625,286,4894.51660511243
"287",467438,287,4891.2449135091
"288",76429,288,4890.60089549433
"289",81028,289,4886.93153902182
"290",264012,290,4886.79209772158
"291",271629,291,4886.60041901449
"292",147404,292,4873.67702777778
"293",188505,293,4869.12278285026
"294",661845,294,4864.85377902862
"295",181742,295,4864.06448282828
"296",114300,296,4862.09029497505
